number,date,launch_name,cosmodrome,booster_rocket,result
335,07.10.1968 15:05:46,Запуск космического аппарата «Космос-246»,Плесецк,Восход,Успешный
336,11.10.1968 15:05:01,Запуск космического аппарата «Космос-247»,Плесецк,Восход,Успешный
337,19.10.1968 07:20:00,Запуск космического аппарата «Космос-248»,Байконур,Циклон-2А,Успешный
338,20.10.1968 07:02:00,Запуск космического аппарата «Космос-249»,Байконур,Циклон-2А,Успешный
339,25.10.1968 12:00:00,Запуск беспилотного космического корабля «Союз-2»,Байконур,Союз,Успешный
340,26.10.1968 11:34:18,Запуск пилотируемого космического корабля «Союз-3»,Байконур,Союз,Успешный
341,31.10.1968 01:00:00,Запуск космического аппарата «Космос-250»,Плесецк,Космос-3М,Успешный
342,31.10.1968 12:14:55,Запуск космического аппарата «Космос-251»,Байконур,Восход,Успешный
343,01.11.1968 03:27:15,Запуск космического аппарата «Космос-252»,Байконур,Циклон-2А,Успешный
344,10.11.1968 22:11:31,Запуск беспилотного космического корабля «Зонд-6» к Луне,Байконур,Протон-К,Успешный
345,13.11.1968 15:00:01,Запуск космического аппарата «Космос-253»,Плесецк,Восход,Успешный
346,16.11.1968 14:40,Запуск космического аппарата «Протон-4»,Байконур,Протон-К,Успешный
347,21.11.1968 15:10:01,Запуск космического аппарата «Космос-254»,Плесецк,Восход,Успешный
348,29.11.1968 15:40:34,Запуск космического аппарата «Космос-255»,Плесецк,Восход,Успешный
349,30.11.1968 15:00:01,Запуск космического аппарата «Космос-256»,Плесецк,Космос-3М,Успешный
350,03.12.1968 17:52:21,Запуск космического аппарата «Космос-257»,Плесецк,Космос-2,Успешный
351,10.12.1968 11:25:01,Запуск космического аппарата «Космос-258»,Байконур,Восход,Успешный
352,14.12.1968 08:09:54,Запуск космического аппарата «Космос-259»,Капустин Яр,Космос-2,Успешный
353,16.12.1968 12:15:03,Запуск космического аппарата «Космос-260»,Байконур,Молния-М,Успешный
354,20.12.1968 02:55,Запуск космического аппарата «Космос-261»,Плесецк,Космос-2,Успешный
355,26.12.1968 12:45:02,Запуск космического аппарата «Космос-262»,Капустин Яр,Космос-2,Успешный
356,05.01.1969 09:28:08,Запуск автоматической межпланетной станции «Венера-5»,Байконур,Молния-М,Успешный
357,10.01.1969 08:51:52,Запуск автоматической межпланетной станции «Венера-6»,Байконур,Молния-М,Успешный
358,12.01.1969 15:10:00,Запуск космического аппарата «Космос-263»,Плесецк,Восход,Успешный
359,14.01.1969 10:30:00,Запуск пилотируемого космического корабля «Союз-4»,Байконур,Союз,Успешный
360,15.01.1969 10:04:57,Запуск пилотируемого космического корабля «Союз-5»,Байконур,Союз,Успешный
361,20.01.1969 07:14:36,Запуск беспилотного космического корабля к Луне,Байконур,Протон-К,Аварийный
362,23.01.1969 12:15:00,Запуск космического аппарата «Космос-264»,Байконур,Восход,Успешный
363,25.01.1969 14:14:03,Запуск космического аппарата,Байконур,Циклон-2А,Аварийный
364,01.02.1969 15:11:00,Запуск космического аппарата,Плесецк,Восток-2М,Аварийный
365,07.02.1969 16:59,Запуск космического аппарата «Космос-265»,Плесецк,Космос-2,Успешный
366,19.02.1969 09:48:16,Запуск автоматической межпланетной станции к Луне,Байконур,Протон-К,Аварийный
367,21.02.1969 12:18:07,Запуск беспилотного космического корабля к Луне,Байконур,Н-1,Аварийный
368,25.02.1969 13:20:01,Запуск космического аппарата «Космос-266»,Плесецк,Восход,Успешный
369,26.02.1969 11:30:01,Запуск космического аппарата «Космос-267»,Байконур,Восход,Успешный
370,05.03.1969 16:04:55,Запуск космического аппарата «Космос-268»,Капустин Яр,Космос-2,Успешный
371,05.03.1969 20:25:01,Запуск космического аппарата «Космос-269»,Плесецк,Космос-3М,Успешный
372,06.03.1969 15:15:01,Запуск космического аппарата «Космос-270»,Плесецк,Восход,Успешный
373,15.03.1969 15:15:00,Запуск космического аппарата «Космос-271»,Плесецк,Восход,Успешный
374,17.03.1969 19:40:18,Запуск космического аппарата «Космос-272»,Плесецк,Космос-3М,Успешный
375,22.03.1969 15:15:00,Запуск космического аппарата «Космос-273»,Плесецк,Восход,Успешный
376,24.03.1969 13:10:00,Запуск космического аппарата «Космос-274»,Байконур,Восход,Успешный
377,26.03.1969 15:30:00,Запуск космического аппарата «Метеор»,Плесецк,Восток-2М,Успешный
378,27.03.1969 13:40:45,Запуск автоматической межпланетной станции к Марсу,Байконур,Протон-К,Аварийный
379,28.03.1969 19:00:08,Запуск космического аппарата «Космос-275»,Плесецк,Космос-2,Успешный
380,02.04.1969 13:33:00,Запуск автоматической межпланетной станции к Марсу,Байконур,Протон-К,Аварийный
381,04.04.1969 13:20:01,Запуск космического аппарата «Космос-276»,Плесецк,Восход,Успешный
382,04.04.1969 16:00:04,Запуск космического аппарата «Космос-277»,Плесецк,Космос-2,Успешный
383,09.04.1969 16:00:01,Запуск космического аппарата «Космос-278»,Плесецк,Восход,Успешный
384,11.04.1969 05:20:01,Запуск космического аппарата «Молния-1»,Байконур,Молния-М,Успешный
385,15.04.1969 11:14:59,Запуск космического аппарата «Космос-279»,Байконур,Восход,Успешный
386,23.04.1969 12:55:01,Запуск космического аппарата «Космос-280»,Байконур,Восход,Успешный
387,13.05.1969 12:15:01,Запуск космического аппарата «Космос-281»,Плесецк,Восход,Успешный
388,20.05.1969 11:40:02,Запуск космического аппарата «Космос-282»,Плесецк,Восход,Успешный
389,27.05.1969 15:59:59,Запуск космического аппарата «Космос-283»,Плесецк,Космос-2,Успешный
390,29.05.1969 09:59:59,Запуск космического аппарата «Космос-284»,Байконур,Восход,Успешный
391,03.06.1969 15:57:27,Запуск космического аппарата «Космос-285»,Плесецк,Космос-2,Успешный
392,14.06.1969 07:00:47,Запуск автоматической межпланетной станции к Луне,Байконур,Протон-К,Аварийный
393,15.06.1969 11:59:01,Запуск космического аппарата «Космос-286»,Плесецк,Восход,Успешный
394,24.06.1969 09:50:00,Запуск космического аппарата «Космос-287»,Байконур,Восход,Успешный
395,27.06.1969 09:59:59,Запуск космического аппарата «Космос-288»,Байконур,Восход,Успешный
396,03.07.1969 20:18:37,Запуск беспилотного космического корабля к Луне,Байконур,Н-1,Аварийный
